District,Year,Month,Monthly_rainfall
Ananthapur,2021,1,16.182957803999997
Ananthapur,2021,2,13.122972528
Ananthapur,2021,3,0.0
Ananthapur,2021,4,34.585076962
Ananthapur,2021,5,76.825606074
Ananthapur,2021,6,115.668237805
Ananthapur,2021,7,142.843390323
Ananthapur,2021,8,81.174705721
Ananthapur,2021,9,60.722652545
Ananthapur,2021,10,161.984550814
Ananthapur,2021,11,269.610129138
Ananthapur,2021,12,8.147915486
Ananthapur,2022,1,2.609364464
Ananthapur,2022,2,0.0
Ananthapur,2022,3,3.29677438
Ananthapur,2022,4,9.627555861000001
Ananthapur,2022,5,108.34340650200001
Ananthapur,2022,6,117.87555713700002
Ananthapur,2022,7,55.814337438
Ananthapur,2022,8,225.714271388
Ananthapur,2022,9,94.904522669
Ananthapur,2022,10,161.876923275
Ananthapur,2022,11,32.2458735836
Ananthapur,2022,12,52.5647829598
Ananthapur,2023,1,0.0
Ananthapur,2023,2,0.0
Ananthapur,2023,3,26.7565145604
Ananthapur,2023,4,23.4696321578
Ananthapur,2023,5,90.4521422778
Ananthapur,2023,6,59.3643096144
Ananthapur,2023,7,69.4892823676
Ananthapur,2023,8,22.6832549085
Ananthapur,2023,9,159.1352758432
Ananthapur,2023,10,6.7994884899
Ananthapur,2023,11,28.547358411999998
Ananthapur,2023,12,12.7304147104
Ananthapur,2024,1,1.015082452
Ananthapur,2024,2,0.065597699
Ananthapur,2024,3,0.005910606
Ananthapur,2024,4,2.786496215
Ananthapur,2024,5,111.10900741200001
Ananthapur,2024,6,148.995306911
Ananthapur,2024,7,46.340124175999996
Ananthapur,2024,8,147.874919766
Ananthapur,2024,9,58.664442056
Ananthapur,2024,10,199.446924394
Ananthapur,2024,11,24.575037269
Ananthapur,2024,12,35.684839302
Ananthapur,2025,1,0.504446128
Ananthapur,2025,2,0.057466956
Ananthapur,2025,3,2.9711091400000003
Ananthapur,2025,4,119.13400616
Ananthapur,2025,5,234.808651116
Ananthapur,2025,6,106.01379084
Chittoor,2021,1,44.982283493000004
Chittoor,2021,2,12.515339914
Chittoor,2021,3,0.0
Chittoor,2021,4,32.267816222
Chittoor,2021,5,54.45585344
Chittoor,2021,6,98.560611254
Chittoor,2021,7,222.584358067
Chittoor,2021,8,143.969834175
Chittoor,2021,9,179.318907994
Chittoor,2021,10,191.283544685
Chittoor,2021,11,515.584835433
Chittoor,2021,12,61.713636744
Chittoor,2022,1,26.16032082
Chittoor,2022,2,0.0
Chittoor,2022,3,1.965142543
Chittoor,2022,4,8.719311878
Chittoor,2022,5,121.138182494
Chittoor,2022,6,119.907715778
Chittoor,2022,7,84.789580936
Chittoor,2022,8,196.876709867
Chittoor,2022,9,98.51316120999999
Chittoor,2022,10,123.9731375054
Chittoor,2022,11,166.58690828989998
Chittoor,2022,12,183.2999950696
Chittoor,2023,1,0.7650250327
Chittoor,2023,2,0.0
Chittoor,2023,3,55.272957805299995
Chittoor,2023,4,16.341698716499998
Chittoor,2023,5,89.0774321994
Chittoor,2023,6,63.1032044931
Chittoor,2023,7,60.2595318348
Chittoor,2023,8,88.9392094757
Chittoor,2023,9,214.7130219027
Chittoor,2023,10,30.3443598341
Chittoor,2023,11,115.3327894556
Chittoor,2023,12,176.9005626803
Chittoor,2024,1,9.497508698999999
Chittoor,2024,2,0.75403128
Chittoor,2024,3,0.20201218599999998
Chittoor,2024,4,0.47603257099999996
Chittoor,2024,5,81.223559684
Chittoor,2024,6,160.861227439
Chittoor,2024,7,107.882828695
Chittoor,2024,8,169.50210414
Chittoor,2024,9,80.53305321799999
Chittoor,2024,10,204.036755895
Chittoor,2024,11,82.970130052
Chittoor,2024,12,176.669631837
Chittoor,2025,1,30.278766342
Chittoor,2025,2,0.000703524
Chittoor,2025,3,6.32407614
Chittoor,2025,4,28.992159798
Chittoor,2025,5,290.744819338
Chittoor,2025,6,88.543601938
East Godavari,2021,1,0.8617842689999999
East Godavari,2021,2,1.9913576249999998
East Godavari,2021,3,1.22426892
East Godavari,2021,4,37.743991325
East Godavari,2021,5,89.457147998
East Godavari,2021,6,124.333002353
East Godavari,2021,7,282.735630737
East Godavari,2021,8,222.917827991
East Godavari,2021,9,317.738688243
East Godavari,2021,10,97.81014989799999
East Godavari,2021,11,112.852520384
East Godavari,2021,12,1.41439051
East Godavari,2022,1,19.614415702
East Godavari,2022,2,0.13180350400000002
East Godavari,2022,3,7.2214441140000005
East Godavari,2022,4,14.64447124
East Godavari,2022,5,116.055165923
East Godavari,2022,6,149.575578482
East Godavari,2022,7,261.78789351
East Godavari,2022,8,198.217578639
East Godavari,2022,9,271.721299646
East Godavari,2022,10,221.10523170689999
East Godavari,2022,11,12.8078079225
East Godavari,2022,12,25.1089767665
East Godavari,2023,1,4.2152084396000005
East Godavari,2023,2,0.0
East Godavari,2023,3,85.1896796643
East Godavari,2023,4,32.3130263134
East Godavari,2023,5,114.2887214887
East Godavari,2023,6,90.0038462199
East Godavari,2023,7,321.8366361824
East Godavari,2023,8,112.5260703694
East Godavari,2023,9,201.7044625076
East Godavari,2023,10,16.5164762585
East Godavari,2023,11,31.5415962956
East Godavari,2023,12,196.49142213759998
East Godavari,2024,1,0.33433468
East Godavari,2024,2,0.36645495100000003
East Godavari,2024,3,6.2363483573
East Godavari,2024,4,5.54158937
East Godavari,2024,5,84.78209804000001
East Godavari,2024,6,226.836639373
East Godavari,2024,7,350.849841683
East Godavari,2024,8,295.206712957
East Godavari,2024,9,227.887807804
East Godavari,2024,10,128.367539269
East Godavari,2024,11,17.418678234
East Godavari,2024,12,28.0684625693
East Godavari,2025,1,0.013427338
East Godavari,2025,2,0.21559557000000001
East Godavari,2025,3,4.95749347
East Godavari,2025,4,100.63042997400001
East Godavari,2025,5,442.377627348
East Godavari,2025,6,252.495508776
Guntur,2021,1,0.000417934
Guntur,2021,2,3.4536124810000004
Guntur,2021,3,0.0
Guntur,2021,4,14.121826554
Guntur,2021,5,59.331633771999996
Guntur,2021,6,101.40624586199999
Guntur,2021,7,226.727113857
Guntur,2021,8,249.267793784
Guntur,2021,9,192.869255135
Guntur,2021,10,75.116199231
Guntur,2021,11,160.104963821
Guntur,2021,12,1.288522903
Guntur,2022,1,28.106519545
Guntur,2022,2,0.0
Guntur,2022,3,0.21854408500000003
Guntur,2022,4,0.00312905
Guntur,2022,5,62.225101338
Guntur,2022,6,70.777722348
Guntur,2022,7,240.373637536
Guntur,2022,8,136.16953669
Guntur,2022,9,120.606317721
Guntur,2022,10,231.292126882
Guntur,2022,11,24.400320012
Guntur,2022,12,42.11384419229999
Guntur,2023,1,0.5782848466999999
Guntur,2023,2,0.1298122449
Guntur,2023,3,56.054518565
Guntur,2023,4,18.1843739573
Guntur,2023,5,103.5162172633
Guntur,2023,6,86.9738399073
Guntur,2023,7,214.9485774499
Guntur,2023,8,95.5071968382
Guntur,2023,9,207.37278213689999
Guntur,2023,10,21.9932928795
Guntur,2023,11,53.3377095084
Guntur,2023,12,148.8132032051
Guntur,2024,1,0.271142773
Guntur,2024,2,0.6235953049999999
Guntur,2024,3,0.0686531402
Guntur,2024,4,1.514705563
Guntur,2024,5,91.40739389699999
Guntur,2024,6,185.7152616
Guntur,2024,7,163.844737474
Guntur,2024,8,249.52703526800002
Guntur,2024,9,178.002188271
Guntur,2024,10,157.605341763
Guntur,2024,11,16.6362401552
Guntur,2024,12,14.427793193
Guntur,2025,1,0.303101668
