District,Year,Yearly_rainfall
Ananthapur,2021,980.8681952
Ananthapur,2022,864.8733696574
Ananthapur,2023,499.427673342
Ananthapur,2024,776.563688258
Ananthapur,2025,463.48947034
Chittoor,2021,1557.237021421
Chittoor,2022,1131.9301663909
Chittoor,2023,911.0497934302
Chittoor,2024,1074.608875696
Chittoor,2025,444.88412708
East Godavari,2021,1291.0807602529999
East Godavari,2022,1297.9916671559
East Godavari,2023,1206.627145877
East Godavari,2024,1371.8965072876
East Godavari,2025,800.690082476
Guntur,2021,1083.687585334
Guntur,2022,956.2867993993
Guntur,2023,1007.4098088025
Guntur,2024,1059.6440884024
Guntur,2025,591.647751948
Kadapa,2021,1332.860846941
Kadapa,2022,926.4239857391
Kadapa,2023,669.2073132559
Kadapa,2024,821.783975606
Kadapa,2025,323.448008834
Krishna,2021,1170.429584764
Krishna,2022,1074.6734271836
Krishna,2023,1176.6523220281
Krishna,2024,1119.305283622
Krishna,2025,644.873770198
Kurnool,2021,788.6642357650001
Kurnool,2022,753.2949250079
Kurnool,2023,554.3812735577
Kurnool,2024,788.298493597
Kurnool,2025,410.41550483000003
Nellore,2021,1397.879142574
Nellore,2022,1198.0931004968
Nellore,2023,896.4426671635999
Nellore,2024,968.906547419
Nellore,2025,327.068445518
Prakasam,2021,943.070822955
Prakasam,2022,916.5901320504
Prakasam,2023,822.3669298448
Prakasam,2024,912.570520804
Prakasam,2025,417.257648342
Srikakulam,2021,1090.139840248
Srikakulam,2022,931.6891605167
Srikakulam,2023,846.0312076067
Srikakulam,2024,856.0004471888
Srikakulam,2025,459.4120492856
Visakhapatnam,2021,1229.237874084
Visakhapatnam,2022,1175.8347555797
Visakhapatnam,2023,1204.5191554474
Visakhapatnam,2024,1298.29041051
Visakhapatnam,2025,814.327243828
Vizianagaram,2021,1323.883690572
Vizianagaram,2022,1307.5188649915
Vizianagaram,2023,1152.8623562352
Vizianagaram,2024,1292.150062321
Vizianagaram,2025,695.77977371
West Godavari,2021,1318.395048535
West Godavari,2022,1366.363694598
West Godavari,2023,1247.5959853178
West Godavari,2024,1443.920016098
West Godavari,2025,822.536297746
