State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Prakasam,2021-11-13,2021,11,8.908350305,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-11-14,2021,11,10.19368448,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-11-22,2021,11,8.801283487,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-02,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-04,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-08,2021,12,0.082333551,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-11,2021,12,0.384491365,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-18,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-19,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-21,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-24,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Prakasam,2021-12-26,2021,12,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-03,2021,1,0.075996454,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-04,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-05,2021,1,2.701022795,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-10,2021,1,0.24040186,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-18,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-22,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-23,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-01-25,2021,1,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-02-11,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-02-15,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-02-24,2021,2,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-03-05,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-03-06,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-03-08,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-03-14,2021,3,0.0,IMD GRID MODEL
Andhra Pradesh,Nellore,2021-03-27,2021,3,0.0,IMD GRID MODEL
