State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Visakhapatanam,2022-05-06,2022,05,8.95729823,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-05-13,2022,05,1.424100074,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-05-23,2022,05,0.156827619,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-05-26,2022,05,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-05-31,2022,05,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-06-01,2022,06,0.000500227,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-06-13,2022,06,10.47010242,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-06-18,2022,06,1.362475311,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-06-22,2022,06,1.341540399,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-06-24,2022,06,8.062859879,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-07-01,2022,07,1.150255473,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-07-02,2022,07,17.05000498,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-07-10,2022,07,5.476637567,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-07-16,2022,07,1.909342682,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-07-17,2022,07,4.141925336,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-07-22,2022,07,2.387628102,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-10-14,2022,10,2.0473895259,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-10-16,2022,10,11.151052347,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-10-21,2022,10,0.3045790686,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-10-17,2022,10,0.2493796133,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-10-24,2022,10,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-10-25,2022,10,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-11-07,2022,11,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-11-19,2022,11,0.1842060668,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-11-22,2022,11,0.0007433317,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-11-26,2022,11,0.8681626273,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-11-28,2022,11,0.0,IMD GRID MODEL
Andhra Pradesh,Visakhapatanam,2022-12-07,2022,12,0.0,IMD GRID MODEL
